actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title
Amy Poehler,Rainn Wilson,Stephen Colbert,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,monsters vs. aliens
Robert Downey Jr.,Jeff Bridges,Jon Favreau,Jon Favreau,Action|Adventure|Sci-Fi,iron man
Chloë Grace Moretz,Christopher Lee,Ray Winstone,Martin Scorsese,Adventure|Drama|Family|Mystery,hugo
Will Smith,Salma Hayek,Bai Ling,Barry Sonnenfeld,Action|Comedy|Sci-Fi|Western,wild wild west
Jet Li,Brendan Fraser,Russell Wong,Rob Cohen,Action|Adventure|Fantasy|Horror|Thriller,the mummy: tomb of the dragon emperor
Will Smith,Robin Atkin Downes,Ike Barinholtz,David Ayer,Action|Adventure|Comedy|Sci-Fi,suicide squad
Jimmy Bennett,Morgan Freeman,Steve Carell,Tom Shadyac,Comedy|Family|Fantasy,evan almighty
Tom Cruise,Lara Pulver,Noah Taylor,Doug Liman,Action|Adventure|Sci-Fi,edge of tomorrow
Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Kevin Reynolds,Action|Adventure|Sci-Fi|Thriller,waterworld
Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Stephen Sommers,Action|Adventure|Sci-Fi|Thriller,g.i. joe: the rise of cobra
Amy Poehler,Mindy Kaling,Phyllis Smith,Pete Docter,Adventure|Animation|Comedy|Drama|Family|Fantasy,inside out
Scarlett Johansson,Bill Murray,Garry Shandling,Jon Favreau,Adventure|Drama|Family|Fantasy,the jungle book
Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Jon Favreau,Action|Adventure|Sci-Fi,iron man 2
Chris Hemsworth,Kristen Stewart,Sam Claflin,Rupert Sanders,Action|Adventure|Drama|Fantasy,snow white and the huntsman
Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Robert Stromberg,Action|Adventure|Family|Fantasy|Romance,maleficent
Gary Oldman,Judy Greer,Kodi Smit-McPhee,Matt Reeves,Action|Adventure|Drama|Sci-Fi,dawn of the planet of the apes
Tamsin Egerton,Alice Englert,Bipasha Basu,Roland Joffé,Action|Adventure|Romance|Sci-Fi,the lovers
Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Carl Rinsch,Action|Adventure|Drama|Fantasy,47 ronin
Scarlett Johansson,Chris Evans,Hayley Atwell,Anthony Russo,Action|Adventure|Sci-Fi,captain america: the winter soldier
Jon Hamm,Kathy Griffin,Mary Kay Place,Mike Mitchell,Adventure|Animation|Comedy|Family|Fantasy,shrek forever after
Judy Greer,Chris Bauer,Thomas Robinson,Brad Bird,Action|Adventure|Family|Mystery|Sci-Fi,tomorrowland
Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Don Hall,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,big hero 6
Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Rich Moore,Adventure|Animation|Comedy|Family|Sci-Fi,wreck-it ralph
Tom Hanks,Eddie Deezen,Peter Scolari,Robert Zemeckis,Adventure|Animation|Family|Fantasy,the polar express
Vivica A. Fox,Sela Ward,Judd Hirsch,Roland Emmerich,Action|Adventure|Sci-Fi,independence day: resurgence
Gerard Butler,America Ferrera,Craig Ferguson,Dean DeBlois,Adventure|Animation|Family|Fantasy,how to train your dragon
Nick Stahl,M.C. Gainey,Carolyn Hennesy,Jonathan Mostow,Action|Sci-Fi,terminator 3: rise of the machines
Bradley Cooper,Vin Diesel,Djimon Hounsou,James Gunn,Action|Adventure|Sci-Fi,guardians of the galaxy
Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Christopher Nolan,Adventure|Drama|Sci-Fi,interstellar
Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Christopher Nolan,Action|Adventure|Sci-Fi|Thriller,inception
Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Hideaki Anno,Action|Adventure|Drama|Horror|Sci-Fi,godzilla resurgence
Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,the hobbit: an unexpected journey
Paul Walker,Vin Diesel,Jordana Brewster,Rob Cohen,Action|Crime|Thriller,the fast and the furious
Brad Pitt,Jason Flemyng,Julia Ormond,David Fincher,Drama|Fantasy|Romance,the curious case of benjamin button
Jennifer Lawrence,Michael Fassbender,Oliver Platt,Matthew Vaughn,Action|Adventure|Sci-Fi,x-men: first class
Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence,Adventure|Sci-Fi,the hunger games: mockingjay - part 2
Nicolas Cage,Omar Benson Miller,Robert Capron,Jon Turteltaub,Action|Adventure|Family|Fantasy,the sorcerer's apprentice
Jimmy Bennett,Mike Vogel,Andre Braugher,Wolfgang Petersen,Action|Adventure|Drama|Thriller,poseidon
Johnny Depp,Alan Rickman,Anne Hathaway,James Bobin,Adventure|Family|Fantasy,alice through the looking glass
Justin Timberlake,Eric Idle,Rupert Everett,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,shrek the third
Dominic Cooper,Callum Rennie,Ruth Negga,Duncan Jones,Action|Adventure|Fantasy,warcraft
J.K. Simmons,Emilia Clarke,Matt Smith,Alan Taylor,Action|Adventure|Sci-Fi,terminator genisys
Bruce Spence,Shane Rangi,Laura Brent,Michael Apted,Adventure|Family|Fantasy,the chronicles of narnia: the voyage of the dawn treader
Jennifer Garner,Jaime King,Mako,Michael Bay,Action|Drama|History|Romance|War,pearl harbor
Zack Ward,Michael O'Neill,Kevin Dunn,Michael Bay,Action|Adventure|Sci-Fi,transformers
Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Oliver Stone,Action|Adventure|Biography|Drama|History|Romance|War,alexander
Robert Pattinson,Daniel Radcliffe,Fiona Shaw,David Yates,Adventure|Family|Fantasy|Mystery,harry potter and the order of the phoenix
Robert Pattinson,Daniel Radcliffe,Rupert Grint,Mike Newell,Adventure|Family|Fantasy|Mystery,harry potter and the goblet of fire
Will Smith,Charlize Theron,Eddie Marsan,Peter Berg,Action|Drama,hancock
Will Smith,Alice Braga,Willow Smith,Francis Lawrence,Drama|Horror|Sci-Fi,i am legend
Johnny Depp,Christopher Lee,David Kelly,Tim Burton,Adventure|Comedy|Family|Fantasy,charlie and the chocolate factory
Janeane Garofalo,John Ratzenberger,Brian Dennehy,Brad Bird,Animation|Comedy|Family|Fantasy,ratatouille
Christian Bale,Liam Neeson,Morgan Freeman,Christopher Nolan,Action|Adventure,batman begins
Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Eric Darnell,Action|Adventure|Animation|Comedy|Family,madagascar: escape 2 africa
Robin Williams,Rami Malek,Steve Coogan,Shawn Levy,Adventure|Comedy|Family|Fantasy,night at the museum: battle of the smithsonian
Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Gavin Hood,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men origins: wolverine
Essie Davis,Collin Chou,Nona Gaye,Lana Wachowski,Action|Sci-Fi,the matrix revolutions
Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Chris Buck,Adventure|Animation|Comedy|Family|Fantasy|Musical,frozen
Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Lana Wachowski,Action|Sci-Fi,the matrix reloaded
Chris Hemsworth,Natalie Portman,Anthony Hopkins,Alan Taylor,Action|Adventure|Fantasy,thor: the dark world
Tom Hardy,Charlize Theron,Zoë Kravitz,George Miller,Action|Adventure|Sci-Fi|Thriller,mad max: fury road
Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Ron Howard,Mystery|Thriller,angels & demons
Chris Hemsworth,Natalie Portman,Anthony Hopkins,Kenneth Branagh,Action|Adventure|Fantasy,thor
Chloë Grace Moretz,Diedrich Bader,James Lipton,Byron Howard,Adventure|Animation|Comedy|Drama|Family,bolt
Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Hoyt Yeatman,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,g-force
Liam Neeson,Edgar Ramírez,Lily James,Jonathan Liebesman,Action|Adventure|Fantasy,wrath of the titans
Johnny Depp,Chloë Grace Moretz,Christopher Lee,Tim Burton,Comedy|Fantasy|Horror,dark shadows
Tom Cruise,Jeremy Renner,Sean Harris,Christopher McQuarrie,Action|Adventure|Thriller,mission: impossible - rogue nation
Anthony Hopkins,Simon Merrells,Art Malik,Joe Johnston,Drama|Fantasy|Horror|Thriller,the wolfman
Christoph Waltz,Alexander Skarsgård,Casper Crump,David Yates,Action|Adventure|Drama|Romance,the legend of tarzan
Matthew Broderick,Oprah Winfrey,Rip Torn,Steve Hickner,Adventure|Animation|Comedy|Family,bee movie
Angelina Jolie Pitt,Gary Oldman,Mike Bell,Jennifer Yuh Nelson,Action|Adventure|Animation|Comedy|Family,kung fu panda 2
Seychelle Gabriel,Noah Ringer,Aasif Mandvi,M. Night Shyamalan,Action|Adventure|Family|Fantasy,the last airbender
Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,J.J. Abrams,Action|Adventure|Thriller,mission: impossible iii
Channing Tatum,Jake Weber,Matt Craven,Roland Emmerich,Action|Drama|Thriller,white house down
Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Simon Wells,Action|Adventure|Animation|Comedy|Family|Sci-Fi,mars needs moms
Hugh Jackman,Kate Winslet,David Suchet,David Bowers,Adventure|Animation|Comedy|Family,flushed away
Hugh Jackman,Cara Delevingne,Nonso Anozie,Joe Wright,Adventure|Family|Fantasy,pan
Ty Burrell,Zach Callison,Karan Brar,Rob Minkoff,Adventure|Animation|Comedy|Family|Sci-Fi,mr. peabody & sherman
Brad Pitt,Orlando Bloom,Julian Glover,Wolfgang Petersen,Adventure,troy
Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Eric Darnell,Adventure|Animation|Comedy|Family,madagascar 3: europe's most wanted
Toby Stephens,Colin Salmon,Rick Yune,Lee Tamahori,Action|Adventure|Thriller,die another day
Ed Begley Jr.,Kate McKinnon,Zach Woods,Paul Feig,Action|Comedy|Fantasy|Sci-Fi,ghostbusters
Bruce Willis,Steve Buscemi,Will Patton,Michael Bay,Action|Adventure|Sci-Fi|Thriller,armageddon
Will Smith,Rosario Dawson,Rip Torn,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,men in black ii
Robin Wright,Anthony Hopkins,Sebastian Roché,Robert Zemeckis,Action|Adventure|Animation|Fantasy,beowulf
J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Alessandro Carloni,Action|Adventure|Animation|Comedy|Family,kung fu panda 3
Tom Cruise,Jeremy Renner,Michael Nyqvist,Brad Bird,Action|Adventure|Thriller,mission: impossible - ghost protocol
Hugh Jackman,Kamil McFadden,Khamani Griffin,Peter Ramsey,Adventure|Animation|Family|Fantasy,rise of the guardians
John Michael Higgins,Richard Burgi,David Herman,Dean Parisot,Comedy|Crime,fun with dick and jane
Tom Cruise,Tony Goldwyn,Chad Lindberg,Edward Zwick,Action|Drama|History|War,the last samurai
Christian Bale,María Valverde,Ben Mendelsohn,Ridley Scott,Action|Adventure|Drama,exodus: gods and kings
Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,J.J. Abrams,Action|Adventure|Sci-Fi,star trek
J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Fantasy|Romance,spider-man
Gerard Butler,Djimon Hounsou,America Ferrera,Dean DeBlois,Action|Adventure|Animation|Comedy|Family|Fantasy,how to train your dragon 2
Gerard Butler,Elodie Yung,Bryan Brown,Alex Proyas,Action|Adventure|Fantasy,gods of egypt
Sam Shepard,Joe Morton,Richard Roxburgh,Rob Cohen,Action|Adventure|Sci-Fi|Thriller,stealth
Matt Frewer,Billy Crudup,Stephen McHattie,Zack Snyder,Action|Drama|Mystery|Sci-Fi,watchmen
Jet Li,Rene Russo,Darlene Love,Richard Donner,Action|Crime|Thriller,lethal weapon 4
Kevin Rankin,Regi Davis,Celia Weston,Ang Lee,Action|Sci-Fi,hulk
Channing Tatum,Dwayne Johnson,Elodie Yung,Jon M. Chu,Action|Adventure|Sci-Fi|Thriller,g.i. joe: retaliation
Matthew McConaughey,Rainn Wilson,Delroy Lindo,Breck Eisner,Action|Adventure|Comedy|Thriller,sahara
Steve Buscemi,Ming-Na Wen,Jean Simmons,Hironobu Sakaguchi,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,final fantasy: the spirits within
Chris Evans,Dominic Cooper,Hayley Atwell,Joe Johnston,Action|Adventure|Sci-Fi,captain america: the first avenger
Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,Michael Apted,Action|Adventure|Thriller,the world is not enough
James D'Arcy,Lee Ingleby,David Threlfall,Peter Weir,Action|Adventure|Drama|History|War,master and commander: the far side of the world
Robert Pattinson,Kristen Stewart,Taylor Lautner,Bill Condon,Adventure|Drama|Fantasy|Romance,the twilight saga: breaking dawn - part 2
Robin Williams,Brad Pitt,Common,George Miller,Animation|Comedy|Family|Musical,happy feet 2
Ty Burrell,Peter Mensah,William Hurt,Louis Leterrier,Action|Adventure|Sci-Fi,the incredible hulk
Don Johnson,Philip Michael Thomas,John Diehl,unknown,Action|Crime|Drama|Mystery|Thriller,miami vice            
Mark Rylance,Penelope Wilton,Rafe Spall,Steven Spielberg,Adventure|Family|Fantasy,the bfg
Leonardo DiCaprio,Tom Hardy,Lukas Haas,Alejandro G. Iñárritu,Adventure|Drama|Thriller|Western,the revenant
Ryan Reynolds,Snoop Dogg,Ben Schwartz,David Soren,Adventure|Animation|Comedy|Family|Sport,turbo
Johnny Depp,Ray Winstone,Stephen Root,Gore Verbinski,Adventure|Animation|Comedy|Family|Western,rango
Benedict Cumberbatch,Annet Mahendru,Andy Richter,Eric Darnell,Adventure|Animation|Comedy|Family,penguins of madagascar
Matt Damon,Edgar Ramírez,Albert Finney,Paul Greengrass,Action|Mystery|Thriller,the bourne ultimatum
Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Mark Osborne,Action|Adventure|Animation|Comedy|Family,kung fu panda
Judy Greer,Hayley Atwell,T.I.,Peyton Reed,Action|Adventure|Comedy|Sci-Fi,ant-man
Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Francis Lawrence,Adventure|Sci-Fi|Thriller,the hunger games: catching fire
Robert Pattinson,Kristen Stewart,Taylor Lautner,Bill Condon,Adventure|Drama|Fantasy|Romance,the twilight saga: breaking dawn - part 2
Jim Parsons,Matt Jones,April Winchell,Tim Johnson,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,home
Tom Cruise,Lisa Ann Walter,Rick Gonzalez,Steven Spielberg,Adventure|Sci-Fi|Thriller,war of the worlds
Will Smith,Henry Rollins,Jordi Mollà,Michael Bay,Action|Comedy|Crime|Thriller,bad boys ii
Salma Hayek,Constance Marie,Amy Sedaris,Chris Miller,Action|Adventure|Animation|Comedy|Family|Fantasy,puss in boots
Angelina Jolie Pitt,Andre Braugher,August Diehl,Phillip Noyce,Action|Crime|Mystery|Thriller,salt
Anthony Hopkins,Emma Watson,Logan Lerman,Darren Aronofsky,Action|Adventure|Drama,noah
Toby Jones,Mackenzie Crook,Tony Curran,Steven Spielberg,Action|Adventure|Family|Mystery,the adventures of tintin
Daniel Radcliffe,Gary Oldman,Rupert Grint,Alfonso Cuarón,Adventure|Family|Fantasy|Mystery,harry potter and the prisoner of azkaban
Essie Davis,Bryan Brown,Eddie Baroo,Baz Luhrmann,Adventure|Drama|Romance|War,australia
Will Smith,Zoë Kravitz,Glenn Morshower,M. Night Shyamalan,Action|Adventure|Sci-Fi,after earth
Alfre Woodard,D.B. Sweeney,Della Reese,Eric Leighton,Adventure|Animation|Family|Thriller,dinosaur
Rupert Grint,Dave Legeno,Ralph Ineson,Matt Birch,Action|Fantasy,harry potter and the deathly hallows: part ii
Robin Williams,Rami Malek,Steve Coogan,Shawn Levy,Adventure|Comedy|Family|Fantasy,night at the museum: secret of the tomb
J.K. Simmons,Brad Pitt,Will Ferrell,Tom McGrath,Action|Animation|Comedy|Family|Sci-Fi,megamind
Daniel Radcliffe,Fiona Shaw,Verne Troyer,Chris Columbus,Adventure|Family|Fantasy,harry potter and the sorcerer's stone
Ryan Reynolds,Jeff Bridges,Stephanie Szostak,Robert Schwentke,Action|Comedy|Fantasy,r.i.p.d.
Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Hideaki Anno,Action|Adventure|Drama|Horror|Sci-Fi,godzilla resurgence
Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action|Adventure|Fantasy,pirates of the caribbean: the curse of the black pearl
Rupert Grint,Toby Jones,Alfred Enoch,Matt Birch,Fantasy,harry potter and the deathly hallows: part i
Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence,Adventure|Sci-Fi|Thriller,the hunger games: mockingjay - part 1
Tom Hanks,Seth Gabel,Jürgen Prochnow,Ron Howard,Mystery|Thriller,the da vinci code
Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Carlos Saldanha,Adventure|Animation|Comedy|Family|Musical,rio 2
Hugh Jackman,Bruce Davison,Aaron Stanford,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men 2
Paul Walker,Vin Diesel,Dwayne Johnson,Justin Lin,Action|Crime|Thriller,fast five
Robert Downey Jr.,Eddie Marsan,Paul Anderson,Guy Ritchie,Action|Adventure|Crime|Mystery|Thriller,sherlock holmes: a game of shadows
Liam Neeson,Jason Flemyng,Alexa Davalos,Louis Leterrier,Action|Adventure|Fantasy,clash of the titans
Ronny Cox,Rachel Ticotin,Marshall Bell,Paul Verhoeven,Action|Sci-Fi,total recall
Tony Curran,Vladimir Kulich,Clive Russell,John McTiernan,Action|Adventure|History,the 13th warrior
Jeremy Renner,Scott Glenn,Stacy Keach,Tony Gilroy,Action|Adventure|Thriller,the bourne legacy
Michael Gough,Vivica A. Fox,John Glover,Joel Schumacher,Action,batman & robin
Clint Howard,T.J. Thyne,Molly Shannon,Ron Howard,Comedy|Family|Fantasy,how the grinch stole christmas
Jake Gyllenhaal,Dennis Quaid,Sela Ward,Roland Emmerich,Action|Adventure|Sci-Fi|Thriller,the day after tomorrow
Tom Cruise,Dougray Scott,Richard Roxburgh,John Woo,Action|Adventure|Thriller,mission: impossible ii
Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Wolfgang Petersen,Action|Adventure|Drama|Thriller,the perfect storm
Chris Evans,Ioan Gruffudd,Andre Braugher,Tim Story,Action|Adventure|Sci-Fi|Thriller,fantastic 4: rise of the silver surfer
Suraj Sharma,Rafe Spall,Tabu,Ang Lee,Adventure|Drama|Fantasy,life of pi
Nicolas Cage,Matt Long,Peter Fonda,Mark Steven Johnson,Action|Fantasy|Thriller,ghost rider
Matt Damon,Riz Ahmed,Ato Essandoh,Paul Greengrass,Action|Thriller,jason bourne
Demi Moore,Bernie Mac,Justin Theroux,McG,Action|Adventure|Comedy|Crime,charlie's angels: full throttle
Michael Fassbender,Charlize Theron,Sean Harris,Ridley Scott,Adventure|Mystery|Sci-Fi,prometheus
Nathan Lane,Brad Garrett,Melanie Griffith,Rob Minkoff,Adventure|Animation|Comedy|Family|Fantasy,stuart little 2
Matt Damon,Sharlto Copley,Alice Braga,Neill Blomkamp,Action|Drama|Sci-Fi|Thriller,elysium
Vin Diesel,Alexa Davalos,Christina Cox,David Twohy,Action|Adventure|Sci-Fi|Thriller,the chronicles of riddick
Gary Oldman,Abbie Cornish,Jennifer Ehle,José Padilha,Action|Crime|Sci-Fi|Thriller,robocop
Scott Porter,Kick Gurry,Nicholas Elia,Lana Wachowski,Action|Family|Sport,speed racer
Shelley Conn,Domenick Lombardozzi,Teyonah Parris,James L. Brooks,Comedy|Drama|Romance,how do you know
